Wall time,Step,Value
1563143475.6756964,6,0.012000000104308128
1563143481.0037217,7,0.011500000022351742
1563143501.8554997,11,0.010318181477487087
1563143507.1981409,12,0.010625000111758709
1563143518.1370118,14,0.01103571429848671
1563143523.6959426,15,0.01073333341628313
1563143529.3145125,16,0.012531249783933163
1563143540.7721107,18,0.013777777552604675
1563143546.59403,19,0.015131578780710697
1563143552.4572966,20,0.01692499965429306
1563143558.4811215,21,0.017690476030111313
1563143582.947903,25,0.017099998891353607
1563143641.383864,34,0.016676470637321472
1563143648.1352677,35,0.016342855989933014
1563143661.898961,37,0.015689188614487648
1563143682.9867256,40,0.01666249893605709
1563143690.2600365,41,0.017329268157482147
1563143704.717981,43,0.022872092202305794
1563143719.4736521,45,0.03219999745488167
1563143726.9305995,46,0.03573913127183914
1563143742.0542672,48,0.04272916540503502
1563143757.4064329,50,0.05201999843120575
1563143765.1170986,51,0.05648038908839226
1563143788.2995117,54,0.06825000047683716
1563143796.029657,55,0.07090000063180923
1563143803.7217917,56,0.07398214191198349
1563143811.4977794,57,0.07591228187084198
1563143819.2275498,58,0.07730172574520111
1563143842.4495852,61,0.07645901292562485
1563143850.1595194,62,0.08054838329553604
1563143865.5963404,64,0.08682812005281448
1563143881.0259361,66,0.09210605919361115
1563143888.715945,67,0.09449253231287003
1563143896.4178689,68,0.09955146908760071
1563143904.17343,69,0.10168839991092682
1563143927.312681,72,0.10520832985639572
1563143935.028432,73,0.10557533800601959
1563143942.712168,74,0.10797972977161407
1563143950.419195,75,0.1111999973654747
1563143965.8668036,77,0.11881817877292633
1563143989.0851731,80,0.13239999115467072
1563144027.8362207,85,0.1647000014781952
1563144035.5726078,86,0.1717965006828308
1563144043.2393754,87,0.17712068557739258
1563144050.9905457,88,0.17898863554000854
1563144058.732533,89,0.18006740510463715
1563144066.4574063,90,0.18537777662277222
1563144105.1098094,95,0.205184206366539
1563144167.2821243,103,0.26778000593185425
1563144190.5234125,106,0.30171999335289
1563144198.3012772,107,0.3144649863243103
1563144252.5319808,114,0.3870849907398224
1563144275.8055015,117,0.4196249842643738
1563144291.340211,119,0.44189998507499695
1563144299.0713735,120,0.45315998792648315
1563144306.9141781,121,0.46396997570991516
1563144337.9434354,125,0.5064699649810791
1563144345.6944647,126,0.5164099931716919
1563144353.455209,127,0.5260449647903442
1563144376.7454708,130,0.5589900016784668
1563144384.4659438,131,0.5676999688148499
1563144407.7352357,134,0.5953499674797058
1563144438.7275634,138,0.6362299919128418
1563144454.2496097,140,0.6550349593162537
1563144469.8885808,142,0.6742050051689148
1563144477.6174417,143,0.6822800040245056
1563144485.3697536,144,0.6895399689674377
1563144493.1233168,145,0.6976850032806396
1563144524.1627402,149,0.7296549677848816
1563144539.7054534,151,0.7424899935722351
1563144563.0050488,154,0.7638049721717834
1563144570.779971,155,0.7721349596977234
1563144578.5364459,156,0.7799850106239319
1563144594.0710294,158,0.7957299947738647
1563144601.8234444,159,0.805525004863739
1563144609.5963113,160,0.8156299591064453
1563144633.0178885,163,0.8384349942207336
1563144648.5578825,165,0.8554399609565735
1563144656.3193228,166,0.862625002861023
1563144671.8050916,168,0.8752899765968323
1563144679.5935133,169,0.8813700079917908
1563144702.8541036,172,0.9067849516868591
1563144741.7033896,177,0.9424949884414673
1563144749.4412029,178,0.9485349655151367
1563144757.1925712,179,0.9532249569892883
1563144772.825752,181,0.964739978313446
1563144780.5508525,182,0.9670599699020386
1563144796.0728514,184,0.9704399704933167
1563144811.624855,186,0.9754399657249451
1563144819.3869467,187,0.977679967880249
1563144827.1734154,188,0.9835799932479858
1563144834.9225125,189,0.9903799891471863
1563144850.4376833,191,0.9994049668312073
1563144858.2294462,192,1.0045750141143799
1563144912.5134778,199,1.0205249786376953
1563144943.7175343,203,1.019974946975708
1563144974.7873445,207,1.0097450017929077
1563144982.5776272,208,1.008579969406128
1563144990.3480983,209,1.0050300359725952
1563145021.3842824,213,1.0078250169754028
1563145044.7591348,216,1.0074299573898315
1563145068.1394355,219,1.0033749341964722
1563145075.968223,220,1.0010299682617188
1563145099.3779013,223,0.9973399639129639
1563145107.1370192,224,0.9995299577713013
1563145122.6482124,226,0.9984149932861328
