Wall time,Step,Value
1563143475.6756308,6,0.01850000023841858
1563143481.0036511,7,0.008499999530613422
1563143501.8554337,11,0.0139999995008111
1563143507.1980739,12,0.0139999995008111
1563143518.1369472,14,0.017500000074505806
1563143523.695862,15,0.0064999996684491634
1563143529.3144412,16,0.03949999809265137
1563143540.7720425,18,0.016499999910593033
1563143546.593963,19,0.03949999809265137
1563143552.4572296,20,0.050999999046325684
1563143558.4810486,21,0.032999999821186066
1563143582.947807,25,0.009999999776482582
1563143641.3837829,34,0.017500000074505806
1563143648.135194,35,0.004999999888241291
1563143661.8988924,37,0.004999999888241291
1563143682.9866571,40,0.042500000447034836
1563143690.259934,41,0.04399999976158142
1563143704.7178729,43,0.16049998998641968
1563143719.4735825,45,0.23600000143051147
1563143726.9305153,46,0.19499999284744263
1563143742.0541973,48,0.25849997997283936
1563143757.406361,50,0.2524999976158142
1563143765.1170237,51,0.27950000762939453
1563143788.2994413,54,0.2719999849796295
1563143796.029575,55,0.21400000154972076
1563143803.7217152,56,0.2434999942779541
1563143811.4976642,57,0.18400000035762787
1563143819.2274773,58,0.15649999678134918
1563143842.4494812,61,0.06449999660253525
1563143850.1594484,62,0.32999998331069946
1563143865.5962636,64,0.23149999976158142
1563143881.025864,66,0.24549999833106995
1563143888.7158144,67,0.25200000405311584
1563143896.4177938,68,0.43849998712539673
1563143904.173359,69,0.24699999392032623
1563143927.3126042,72,0.12099999934434891
1563143935.028358,73,0.13199999928474426
1563143942.7120914,74,0.28349998593330383
1563143950.4191225,75,0.34950000047683716
1563143965.8667269,77,0.48649999499320984
1563143989.0851007,80,0.3894999921321869
1563144027.8361447,85,0.637499988079071
1563144035.5725327,86,0.7749999761581421
1563144043.2392924,87,0.6349999904632568
1563144050.9904692,88,0.3414999842643738
1563144058.7324567,89,0.2750000059604645
1563144066.4573307,90,0.6579999923706055
1563144105.1097245,95,0.6984999775886536
1563144167.282055,103,0.9649999737739563
1563144190.52334,106,1.2055000066757202
1563144198.3012047,107,1.2829999923706055
1563144252.5318973,114,0.9894999861717224
1563144275.80543,117,1.0829999446868896
1563144291.3401408,119,1.3339999914169312
1563144299.071304,120,1.1769999265670776
1563144306.9140875,121,1.1139999628067017
1563144337.9433622,125,1.1089999675750732
1563144345.6943903,126,1.0189999341964722
1563144353.45514,127,0.9909999966621399
1563144376.7454,130,1.1299999952316284
1563144384.465874,131,0.887499988079071
1563144407.7351239,134,0.949999988079071
1563144438.72749,138,1.090499997138977
1563144454.249536,140,0.8064999580383301
1563144469.8885071,142,1.0164999961853027
1563144477.6173716,143,0.9679999947547913
1563144485.3696706,144,0.9555000066757202
1563144493.123248,145,1.0505000352859497
1563144524.162669,149,1.1495000123977661
1563144539.705382,151,0.9264999628067017
1563144563.004978,154,0.9574999809265137
1563144570.7798855,155,1.0469999313354492
1563144578.5363705,156,1.028499960899353
1563144594.0709546,158,0.7509999871253967
1563144601.82337,159,1.0219999551773071
1563144609.5962298,160,1.0839999914169312
1563144633.0178175,163,0.9514999985694885
1563144648.5578082,165,1.2350000143051147
1563144656.3192537,166,0.9639999866485596
1563144671.8050184,168,1.0770000219345093
1563144679.5934443,169,0.8549999594688416
1563144702.8540342,172,0.9574999809265137
1563144741.7033193,177,0.9975000023841858
1563144749.441129,178,1.0734999179840088
1563144757.1924982,179,1.0529999732971191
1563144772.825674,181,1.2365000247955322
1563144780.5507836,182,0.9144999980926514
1563144796.0727746,184,0.9014999866485596
1563144811.6247852,186,1.006500005722046
1563144819.3868752,187,0.8589999675750732
1563144827.1733453,188,0.9314999580383301
1563144834.9224427,189,0.9549999833106995
1563144850.4376132,191,1.162500023841858
1563144858.229374,192,1.2384999990463257
1563144912.513407,199,1.0149999856948853
1563144943.717463,203,0.8859999775886536
1563144974.7872689,207,1.1269999742507935
1563144982.5775554,208,1.125
1563144990.3480277,209,0.7770000100135803
1563145021.3842115,213,0.9569999575614929
1563145044.7590635,216,1.0234999656677246
1563145068.1393604,219,1.2049999237060547
1563145075.9681525,220,0.9424999952316284
1563145099.377831,223,0.9194999933242798
1563145107.136948,224,1.1359999179840088
1563145122.6481428,226,1.1150000095367432
1563145130.4566653,227,0.9524999856948853
